level,trial,response,result,response time,passed,participant,name,session,date,expName,psychopyVersion
1,1,2,FALSE,1.0864033,,1,1,1,2021_Apr_01_1610,task2,2020.1.3
1,2,2,TRUE,0.4734095,,1,1,1,2021_Apr_01_1610,task2,2020.1.3
1,3,[],FALSE,[],,1,1,1,2021_Apr_01_1610,task2,2020.1.3
1,4,[],FALSE,[],,1,1,1,2021_Apr_01_1610,task2,2020.1.3
1,5,[],FALSE,[],,1,1,1,2021_Apr_01_1610,task2,2020.1.3
1,6,[],FALSE,[],,1,1,1,2021_Apr_01_1610,task2,2020.1.3
1,7,[],FALSE,[],,1,1,1,2021_Apr_01_1610,task2,2020.1.3
1,8,[],FALSE,[],,1,1,1,2021_Apr_01_1610,task2,2020.1.3
1,9,[],FALSE,[],,1,1,1,2021_Apr_01_1610,task2,2020.1.3
1,10,1,TRUE,1.0421674,,1,1,1,2021_Apr_01_1610,task2,2020.1.3
1,11,2,TRUE,1.7885113,,1,1,1,2021_Apr_01_1610,task2,2020.1.3
1,12,0,TRUE,0.8899897,,1,1,1,2021_Apr_01_1610,task2,2020.1.3
1,,,,,TRUE,1,1,1,2021_Apr_01_1610,task2,2020.1.3
2,1,1,TRUE,1.8481969,,1,1,1,2021_Apr_01_1610,task2,2020.1.3
2,2,2,FALSE,0.4385798,,1,1,1,2021_Apr_01_1610,task2,2020.1.3
2,3,[],FALSE,[],,1,1,1,2021_Apr_01_1610,task2,2020.1.3
2,4,[],FALSE,[],,1,1,1,2021_Apr_01_1610,task2,2020.1.3
2,5,[],FALSE,[],,1,1,1,2021_Apr_01_1610,task2,2020.1.3
2,6,2,FALSE,0.357118,,1,1,1,2021_Apr_01_1610,task2,2020.1.3
2,7,2,FALSE,0.0745905,,1,1,1,2021_Apr_01_1610,task2,2020.1.3
2,8,0,FALSE,2.7952136,,1,1,1,2021_Apr_01_1610,task2,2020.1.3
2,9,2,FALSE,0.1723519,,1,1,1,2021_Apr_01_1610,task2,2020.1.3
2,10,[],FALSE,[],,1,1,1,2021_Apr_01_1610,task2,2020.1.3
2,11,0,FALSE,5.6733505,,1,1,1,2021_Apr_01_1610,task2,2020.1.3
2,12,0,TRUE,2.309238,,1,1,1,2021_Apr_01_1610,task2,2020.1.3
2,,,,,FALSE,1,1,1,2021_Apr_01_1610,task2,2020.1.3
2,1,1,TRUE,2.6421528,,1,1,1,2021_Apr_01_1610,task2,2020.1.3
2,2,2,FALSE,3.5537576,,1,1,1,2021_Apr_01_1610,task2,2020.1.3
2,3,1,TRUE,5.3021163,,1,1,1,2021_Apr_01_1610,task2,2020.1.3
2,4,[],FALSE,[],,1,1,1,2021_Apr_01_1610,task2,2020.1.3
2,5,[],FALSE,[],,1,1,1,2021_Apr_01_1610,task2,2020.1.3
2,6,[],FALSE,[],,1,1,1,2021_Apr_01_1610,task2,2020.1.3
2,7,[],FALSE,[],,1,1,1,2021_Apr_01_1610,task2,2020.1.3
2,8,2,FALSE,4.2901703,,1,1,1,2021_Apr_01_1610,task2,2020.1.3
2,9,[],FALSE,[],,1,1,1,2021_Apr_01_1610,task2,2020.1.3
2,10,[],FALSE,[],,1,1,1,2021_Apr_01_1610,task2,2020.1.3
2,11,[],FALSE,[],,1,1,1,2021_Apr_01_1610,task2,2020.1.3
2,12,2,FALSE,0.7444144,,1,1,1,2021_Apr_01_1610,task2,2020.1.3
2,,,,,FALSE,1,1,1,2021_Apr_01_1610,task2,2020.1.3
2,1,1,TRUE,2.7259666,,1,1,1,2021_Apr_01_1610,task2,2020.1.3
2,2,0,FALSE,5.2534098,,1,1,1,2021_Apr_01_1610,task2,2020.1.3
2,3,2,FALSE,2.4888304,,1,1,1,2021_Apr_01_1610,task2,2020.1.3
2,4,2,TRUE,4.0210512,,1,1,1,2021_Apr_01_1610,task2,2020.1.3
2,5,0,FALSE,4.6718604,,1,1,1,2021_Apr_01_1610,task2,2020.1.3
2,6,[],FALSE,[],,1,1,1,2021_Apr_01_1610,task2,2020.1.3
2,7,2,FALSE,3.7393625,,1,1,1,2021_Apr_01_1610,task2,2020.1.3
2,8,0,FALSE,5.141848,,1,1,1,2021_Apr_01_1610,task2,2020.1.3
2,9,2,FALSE,4.8377507,,1,1,1,2021_Apr_01_1610,task2,2020.1.3
2,10,0,FALSE,2.8757522,,1,1,1,2021_Apr_01_1610,task2,2020.1.3
2,11,[],FALSE,[],,1,1,1,2021_Apr_01_1610,task2,2020.1.3
2,12,[],FALSE,[],,1,1,1,2021_Apr_01_1610,task2,2020.1.3
2,,,,,FALSE,1,1,1,2021_Apr_01_1610,task2,2020.1.3
3,1,2,FALSE,3.3244773,,1,1,1,2021_Apr_01_1610,task2,2020.1.3
3,2,1,FALSE,1.5937623,,1,1,1,2021_Apr_01_1610,task2,2020.1.3
