trial,answer pos,reaction pos,accuracy,mode,score,precision,response time,participant,name,session,date,expName,psychopyVersion,
1,18,19.714285714285715,1,1,5,0.03428571428571431,2.074739499948919,2,1,1,2021_Jan_13_1947,NL,2020.1.3,
2,37,32.785714285714285,1,1,5,0.08428571428571431,2.4782167999073863,2,1,1,2021_Jan_13_1947,NL,2020.1.3,
3,6,6.142857142857143,1,1,5,0.002857142857142865,2.172545700101182,2,1,1,2021_Jan_13_1947,NL,2020.1.3,
4,32,30.642857142857142,1,1,5,0.027142857142857153,2.514095999998972,2,1,1,2021_Jan_13_1947,NL,2020.1.3,
5,37,33.714285714285715,1,1,5,0.0657142857142857,3.4506143999751657,2,1,1,2021_Jan_13_1947,NL,2020.1.3,
6,11,11.0,1,2,5,0.0,3.061706400010735,2,1,1,2021_Jan_13_1947,NL,2020.1.3,
7,15,12.285714285714286,1,2,5,0.05428571428571427,2.6824969999725,2,1,1,2021_Jan_13_1947,NL,2020.1.3,
8,15,13.857142857142858,1,2,5,0.022857142857142847,1.4614713999908417,2,1,1,2021_Jan_13_1947,NL,2020.1.3,
9,12,12.928571428571429,1,2,5,0.018571428571428576,3.6717407000251114,2,1,1,2021_Jan_13_1947,NL,2020.1.3,
10,4,5.357142857142857,1,2,5,0.027142857142857135,1.0456864999141544,2,1,1,2021_Jan_13_1947,NL,2020.1.3,
