trial,feedback,reaction time,picture,participant,name,session,date,expName,psychopyVersion,
1,0,1.0107988999952795,pictures/material_new/3_3and5_2and1,11,111,11,2021_Apr_29_1802,Reinforcement_learning,2020.1.3,
2,0,6.602944900005241,pictures/material_new/3_1and6_3and2,11,111,11,2021_Apr_29_1802,Reinforcement_learning,2020.1.3,
3,0,0.8652348000032362,pictures/material_new/3_1and6_2and1,11,111,11,2021_Apr_29_1802,Reinforcement_learning,2020.1.3,
4,1,2.7928173999971477,pictures/material_new/6_3and5_3and1,11,111,11,2021_Apr_29_1802,Reinforcement_learning,2020.1.3,
5,1,5.097758999996586,pictures/material_new/5_2and4_2and2,11,111,11,2021_Apr_29_1802,Reinforcement_learning,2020.1.3,
6,0,0.8141185000131372,pictures/material_new/6_1and3_3and2,11,111,11,2021_Apr_29_1802,Reinforcement_learning,2020.1.3,
7,0,0.9386105000012321,pictures/material_new/5_3and4_3and2,11,111,11,2021_Apr_29_1802,Reinforcement_learning,2020.1.3,
8,0,1.2548130999930436,pictures/material_new/3_2and5_2and2,11,111,11,2021_Apr_29_1802,Reinforcement_learning,2020.1.3,
9,0,1.4815794000023743,pictures/material_new/6_2and5_2and2,11,111,11,2021_Apr_29_1802,Reinforcement_learning,2020.1.3,
10,1,0.8796861000009812,pictures/material_new/5_2and3_1and1,11,111,11,2021_Apr_29_1802,Reinforcement_learning,2020.1.3,
11,0,0.8131771000043955,pictures/material_new/3_3and5_2and2,11,111,11,2021_Apr_29_1802,Reinforcement_learning,2020.1.3,
12,0,0.40884899999946356,pictures/material_new/6_3and5_1and2,11,111,11,2021_Apr_29_1802,Reinforcement_learning,2020.1.3,
13,0,0.6250431999942521,pictures/material_new/6_2and5_3and2,11,111,11,2021_Apr_29_1802,Reinforcement_learning,2020.1.3,
14,1,0.799460000009276,pictures/material_new/6_3and3_1and1,11,111,11,2021_Apr_29_1802,Reinforcement_learning,2020.1.3,
15,1,1.0509778000123333,pictures/material_new/4_1and3_3and1,11,111,11,2021_Apr_29_1802,Reinforcement_learning,2020.1.3,
16,0,0.8262405999994371,pictures/material_new/3_3and6_1and2,11,111,11,2021_Apr_29_1802,Reinforcement_learning,2020.1.3,
17,1,0.45249609999882523,pictures/material_new/5_2and4_2and1,11,111,11,2021_Apr_29_1802,Reinforcement_learning,2020.1.3,
