1.2210 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
6.3911 	ERROR 	'-1.0000, -1.0000, -1.0000' is not a valid rgb color
7.4592 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000228B146F0F0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000228B143A5C0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.4594 	EXP 	window1: mouseVisible = True
7.4594 	EXP 	window1: recordFrameIntervals = False
7.6240 	EXP 	window1: recordFrameIntervals = True
7.8088 	EXP 	window1: recordFrameIntervals = False
8.1589 	EXP 	Created fixation = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='taskSamples/Fixation.png', interpolate=True, mask=None, maskParams=None, name='fixation', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.8, 0.7]), texRes=128.0, units='height', win=Window(...))
8.1608 	EXP 	Created image1 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image1', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.8, 0.7]), texRes=128.0, units='height', win=Window(...))
8.1628 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.8, 0.7]), texRes=128.0, units='height', win=Window(...))
8.1646 	EXP 	Created image_2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_2', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.8, 0.7]), texRes=128.0, units='height', win=Window(...))
8.1888 	EXP 	Imported trial.xlsx as conditions, 50 conditions, 8 params
8.1892 	EXP 	Created sequence: sequential, trialTypes=50, nReps=1, seed=None
8.1894 	EXP 	New trial (rep=0, index=0): {'trialN': 1, 'images1': 'taskSamples\\A6_1.png', 'duration1': 8, 'images2': None, 'duration2': 0, 'images3': None, 'duration3': 0, 'correctAns': 1}
8.2208 	EXP 	fixation: autoDraw = True
9.0051 	EXP 	fixation: autoDraw = False
9.0051 	EXP 	image1: autoDraw = True
12.6725 	DATA 	Keypress: num_1
13.7227 	DATA 	Keypress: 1
14.4908 	DATA 	Mouse: Left button down, pos=(988,613)
14.6095 	DATA 	Mouse:  Left button up, pos=(988,613)
14.8581 	DATA 	Keypress: 1
15.0456 	DATA 	Keypress: 2
15.2596 	DATA 	Keypress: 2
15.4922 	DATA 	Keypress: 2
15.5923 	DATA 	Keypress: 1
15.7620 	DATA 	Keypress: 2
15.8919 	DATA 	Keypress: 1
16.0091 	DATA 	Keypress: 2
16.1423 	DATA 	Keypress: 1
16.2929 	DATA 	Keypress: 2
16.4090 	DATA 	Keypress: 1
16.5096 	DATA 	Keypress: 2
16.6817 	DATA 	Keypress: 1
16.8094 	DATA 	Keypress: 2
16.9973 	EXP 	New trial (rep=0, index=1): {'trialN': 2, 'images1': 'taskSamples\\A20_2.png', 'duration1': 8, 'images2': None, 'duration2': 0, 'images3': None, 'duration3': 0, 'correctAns': 2}
17.0078 	EXP 	image1: autoDraw = False
17.0078 	EXP 	image1: autoDraw = False
17.0078 	EXP 	image: autoDraw = True
17.0078 	EXP 	image: autoDraw = False
17.0078 	EXP 	image: autoDraw = False
17.0078 	EXP 	image_2: autoDraw = True
17.0078 	EXP 	image_2: autoDraw = False
17.0078 	EXP 	image_2: autoDraw = False
17.0078 	EXP 	fixation: autoDraw = True
17.1610 	DATA 	Keypress: 2
17.4109 	DATA 	Keypress: 2
17.6779 	DATA 	Keypress: 1
17.8134 	EXP 	fixation: autoDraw = False
17.8134 	EXP 	fixation: autoDraw = False
17.8134 	EXP 	image1: autoDraw = True
17.9453 	DATA 	Keypress: 2
18.6991 	DATA 	Keypress: 1
18.8008 	DATA 	Keypress: 2
18.9983 	DATA 	Keypress: 1
