trialN,images1,duration1,images2,duration2,images3,duration3,correctAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,fixation.stopped,image1.started,image1.stopped,key_resp_1.keys,key_resp_1.corr,key_resp_1.started,key_resp_1.stopped,image.started,image.stopped,image_2.started,image_2.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,taskSamples\A6_1.png,8,None,0,None,0,1,0,0,0,0,7.648033899953589,None,8.448387300013565,None,None,0,8.448387300013565,None,16.463857729977462,None,16.463857729977462,None,None,0,16.463857729977462,None,,001,2021_Aug_23_1443,taskSwitching,2021.2.1,59.97515829577362,
2,taskSamples\A20_2.png,8,None,0,None,0,2,0,1,1,1,16.463780399993993,None,17.285169699927792,None,None,0,17.285169699927792,None,25.28746462991694,None,25.28746462991694,None,None,0,25.28746462991694,None,,001,2021_Aug_23_1443,taskSwitching,2021.2.1,59.97515829577362,
3,taskSamples\B17.png,5,None,0,None,0,2,0,2,2,2,25.28737319994252,None,26.108808599994518,None,None,0,26.108808599994518,None,31.122715929930564,None,31.122715929930564,None,None,0,31.122715929930564,None,,001,2021_Aug_23_1443,taskSwitching,2021.2.1,59.97515829577362,
4,taskSamples\B8.png,5,None,0,None,0,2,0,3,3,3,31.121603399980813,None,31.92740489996504,None,None,0,31.92740489996504,None,36.956988629943226,None,36.956988629943226,None,None,0,36.956988629943226,None,,001,2021_Aug_23_1443,taskSwitching,2021.2.1,59.97515829577362,
5,taskSamples\C4_Spatial_ADD_1.png,8,taskSamples\C4_Spatial_ADD_2.png,2,taskSamples\C4_Spatial_ADD_3.png,5,1,0,4,4,4,36.95602159993723,None,37.77764559991192,None,None,0,37.77764559991192,None,45.81371979997493,None,47.83230769995134,None,None,0,47.83230769995134,None,,001,2021_Aug_23_1443,taskSwitching,2021.2.1,59.97515829577362,
6,taskSamples\C3_Episodic_SUB_1.png,8,taskSamples\C3_Episodic_SUB_2.png,2,taskSamples\C3_Episodic_SUB_3.png,5,1,0,5,5,5,52.85357619996648,None,53.67512569995597,None,None,0,53.67512569995597,None,61.71139029995538,None,63.72984559996985,None,None,0,63.72984559996985,None,,001,2021_Aug_23_1443,taskSwitching,2021.2.1,59.97515829577362,
7,taskSamples\B18.png,5,None,0,None,0,2,0,6,6,6,68.73428450000938,None,69.53889500000514,None,None,0,69.53889500000514,None,74.55608852993464,None,74.55608852993464,None,None,0,74.55608852993464,None,,001,2021_Aug_23_1443,taskSwitching,2021.2.1,59.97515829577362,
8,taskSamples\B2.png,5,None,0,None,0,1,0,7,7,7,74.55652599991299,None,75.37824469991028,None,None,0,75.37824469991028,None,80.39445922995219,None,80.39445922995219,None,None,0,80.39445922995219,None,,001,2021_Aug_23_1443,taskSwitching,2021.2.1,59.97515829577362,
9,taskSamples\A14_2.png,8,None,0,None,0,2,0,8,8,8,80.39406829990912,None,81.21567509998567,None,None,0,81.21567509998567,None,89.23252812999999,None,89.23252812999999,None,None,0,89.23252812999999,None,,001,2021_Aug_23_1443,taskSwitching,2021.2.1,59.97515829577362,
10,taskSamples\A15_2.png,8,None,0,None,0,2,0,9,9,9,89.23231959994882,None,90.0377937000012,None,None,0,90.0377937000012,None,98.05236082995543,None,98.05236082995543,None,None,0,98.05236082995543,None,,001,2021_Aug_23_1443,taskSwitching,2021.2.1,59.97515829577362,
